,shredded potato,grated onion,saltine crackers,eggs,salt,ground black pepper,vegetable oil
Option 46,3.87,3.15,4.15,6.63,2.97,3.59,5.91
Option 47,5.65,2.43,2.99,4.19,12.19,3.15,12.19
Option 48,6.09,5.53,6.19,6.09,3.87,2.71,9.97
Option 49,5.93,3.87,6.63,2.53,2.19,5.97,3.99
Option 50,6.09,5.53,6.31,6.63,6.97,3.45,6.37
Option 51,6.31,2.53,5.09,9.97,3.75,,4.47
Option 52,2.79,7.75,2.87,,5.97,,2.97
Option 53,4.85,7.09,4.41,,5.75,,10.59
Option 54,4.35,0.98,4.35,,4.19,,19.89
Option 55,4.35,5.53,4.45,,6.37,,14.39
Option 56,1.12,2.53,3.87,,7.29,,4.47
Option 57,6.63,1.75,4.75,,5.97,,5.53
Option 58,1.75,3.87,5.41,,5.75,,15.69
Option 59,6.63,4.97,4.75,,2.97,,13.29
Option 60,6.63,5.53,2.99,,3.75,,6.97
Option 61,5.53,5.53,4.15,,6.05,,4.87
Option 62,5.53,1.55,6.63,,2.65,,4.19
Option 63,6.63,5.53,6.63,,6.09,,7.75
Option 64,1.31,10.99,6.97,,4.75,,7.75
Option 65,6.63,4.19,5.19,,3.65,,18.79
Option 66,6.63,3.09,5.31,,4.09,,9.97
Option 67,5.31,3.87,5.19,,7.41,,14.89
Option 68,1.75,2.19,5.19,,3.19,,16.59
Option 69,1.75,3.75,5.19,,2.19,,9.97
Option 70,5.31,2.31,8.53,,9.75,,3.87
Option 71,,2.97,6.31,,2.43,,33.29
Option 72,,3.87,5.41,,6.09,,5.53
Option 73,,2.43,4.15,,0.67,,15.49
Option 74,,4.97,6.97,,2.93,,15.69
Option 75,,1.97,3.33,,2.65,,9.41
Option 76,,4.75,4.45,,1.05,,20.99
Option 77,,2.19,4.43,,7.29,,4.31
Option 78,,6.75,6.63,,1.65,,5.53
Option 79,,3.19,4.15,,3.43,,9.19
Option 80,,4.41,4.35,,3.67,,20.49
Option 81,,3.11,5.19,,4.77,,22.09
Option 82,,5.65,10.99,,1.77,,10.99
Option 83,,4.97,6.63,,6.49,,7.09
Option 84,,5.31,3.87,,4.19,,
Option 85,,4.27,7.75,,5.19,,
Option 86,,3.67,4.75,,6.63,,
Option 87,,4.87,4.43,,,,
Option 88,,0.83,5.19,,,,
Option 89,,2.19,5.19,,,,
Option 90,,1.68,8.85,,,,
Option 91,,4.09,5.31,,,,
Option 92,,5.09,5.09,,,,
Option 93,,0.98,8.85,,,,
Option 94,,7.19,2.99,,,,
Option 95,,6.63,2.99,,,,
Option 96,,3.97,4.15,,,,
Option 97,,3.29,6.19,,,,
Option 98,,8.63,,,,,
Option 99,,12.89,,,,,
Option 100,,2.21,,,,,
Option 101,,2.53,,,,,
Option 102,,2.19,,,,,
Option 103,,1.65,,,,,
Option 104,,6.49,,,,,
Option 105,,4.75,,,,,
Option 106,,3.33,,,,,
Option 107,,5.19,,,,,
Option 108,,7.29,,,,,
Option 109,,2.31,,,,,
Option 110,,3.59,,,,,
Option 111,,2.65,,,,,
Option 112,,3.29,,,,,
Option 113,,8.63,,,,,
Option 114,,6.63,,,,,
Option 115,,2.75,,,,,
Option 116,,10.99,,,,,
